"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"237",2020-02-29,"Texas",48,11,0,28995881,3.79364227629435e-07,9.42857142857143,3.25169337968087e-07
"238",2020-02-29,"Utah",49,1,0,3205958,3.11919245355055e-07,NA,NA
"239",2020-02-29,"Washington",53,10,1,7614893,1.31321608852547e-06,5.42857142857143,7.12888733770971e-07
"240",2020-02-29,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"241",2020-03-01,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"242",2020-03-01,"California",6,33,0,39512223,8.35184595916054e-07,23.1428571428571,5.85713872460609e-07
"243",2020-03-01,"Florida",12,2,0,21477737,9.31196801599722e-08,NA,NA
"244",2020-03-01,"Illinois",17,3,0,12671821,2.36745768425864e-07,2.28571428571429,1.80377728324468e-07
"245",2020-03-01,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"246",2020-03-01,"Nebraska",31,13,0,1934408,6.72040231429978e-06,12.8571428571429,6.64655173941736e-06
"247",2020-03-01,"New York",36,1,0,19453561,5.14044703692039e-08,NA,NA
"248",2020-03-01,"Oregon",41,2,0,4217737,4.74187935378617e-07,NA,NA
"249",2020-03-01,"Rhode Island",44,2,0,1059361,1.88793055436249e-06,NA,NA
"250",2020-03-01,"Texas",48,11,0,28995881,3.79364227629435e-07,10.4285714285714,3.59656995025308e-07
"251",2020-03-01,"Utah",49,1,0,3205958,3.11919245355055e-07,NA,NA
"252",2020-03-01,"Washington",53,17,3,7614893,2.2324673504933e-06,7.71428571428571,1.01305241114822e-06
"253",2020-03-01,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"254",2020-03-02,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"255",2020-03-02,"California",6,38,0,39512223,9.61727716509395e-07,27,6.83332851204044e-07
"256",2020-03-02,"Florida",12,2,0,21477737,9.31196801599722e-08,NA,NA
"257",2020-03-02,"Georgia",13,2,0,10617423,1.88369626038258e-07,NA,NA
"258",2020-03-02,"Illinois",17,4,0,12671821,3.15661024567819e-07,2.57142857142857,2.02924944365026e-07
"259",2020-03-02,"Massachusetts",25,2,0,6892503,2.90170348855851e-07,1.14285714285714,1.65811627917629e-07
"260",2020-03-02,"Nebraska",31,13,0,1934408,6.72040231429978e-06,13,6.72040231429978e-06
